pid,block,technique,time,distance_num,distance,overshoot_number,overshoot_distance,longest_overshoot,number_technique_used,number_normal_used,total_interaction
P4,1,ForceScroll,5510,14944.5,long,1,271.5,271.5,2,1,3
P4,2,ForceScroll,5389,9944.5,medium,1,1118.5,1118.5,2,2,4
P4,2,ForceScroll,6567,15055.5,long,1,528.5,528.5,2,7,9
P4,2,ForceScroll,4919,10055.5,medium,1,220.5,220.5,2,9,11
P4,2,ForceScroll,5420,15055.5,long,0,0,0,2,1,3
P4,2,ForceScroll,3835,3944.5,short,1,1605.5,1605.5,1,7,8
P4,3,ForceScroll,3340,4055.5,short,1,626.5,626.5,1,2,3
P4,3,ForceScroll,2464,3944.5,short,0,0,0,1,1,2
P4,3,ForceScroll,4944,14944.5,long,0,0,0,2,0,2
P4,3,ForceScroll,6199,10055.5,medium,1,1098.5,1098.5,2,4,6
P4,3,ForceScroll,7559,15055.5,long,1,310.5,310.5,2,3,5
P4,1,Traditional,1961,3944.5,short,0,0,0,0,2,2
P4,1,Traditional,3170,10055.5,medium,1,697.5,697.5,0,4,4
P4,1,Traditional,2086,4055.5,short,0,0,0,0,2,2
P4,1,Traditional,3036,9944.5,medium,0,0,0,0,4,4
P4,1,Traditional,3390,14944.5,long,1,691.5,691.5,0,11,11
P4,2,Traditional,2851,9944.5,medium,0,0,0,0,9,9
P4,2,Traditional,3384,15055.5,long,1,979.5,979.5,0,16,16
P4,2,Traditional,3925,10055.5,medium,0,0,0,0,4,4
P4,2,Traditional,2834,15055.5,long,0,0,0,0,9,9
P4,2,Traditional,2175,3944.5,short,1,759.5,759.5,0,3,3
P4,3,Traditional,1969,4055.5,short,0,0,0,0,2,2
P4,3,Traditional,1874,3944.5,short,1,286.5,286.5,0,2,2
P4,3,Traditional,3191,14944.5,long,1,588.5,588.5,0,4,4
P4,3,Traditional,2539,10055.5,medium,0,0,0,0,11,11
P4,3,Traditional,3232,15055.5,long,1,964.5,964.5,0,16,16
P5,1,ForcePress,3737,10055.5,medium,0,0,0,3,0,3
P5,1,ForcePress,4846,9944.5,medium,1,614.5,614.5,3,1,4
P5,1,ForcePress,3784,3944.5,short,0,0,0,5,0,5
P5,1,ForcePress,5240,15055.5,long,0,0,0,3,0,3
P5,1,ForcePress,4636,4055.5,short,0,0,0,6,0,6
P5,2,ForcePress,3634,3944.5,short,0,0,0,3,0,3
P5,2,ForcePress,4265,10055.5,medium,0,0,0,3,0,3
P5,2,ForcePress,2664,4055.5,short,0,0,0,2,0,2
P5,2,ForcePress,4116,9944.5,medium,0,0,0,3,0,3
P5,2,ForcePress,5805,14944.5,long,1,588.5,588.5,1,1,2
P5,3,ForcePress,3336,4055.5,short,0,0,0,2,0,2
P5,3,ForcePress,2217,3944.5,short,0,0,0,2,0,2
P5,3,ForcePress,3963,14944.5,long,0,0,0,2,0,2
P5,3,ForcePress,4237,10055.5,medium,1,762.5,762.5,2,2,4
P5,3,ForcePress,3440,15055.5,long,0,0,0,2,0,2
P5,1,ForceScroll,23436,10055.5,medium,1,7.5,7.5,4,3,7
P5,1,ForceScroll,24079,9944.5,medium,0,0,0,4,3,7
P5,1,ForceScroll,10672,3944.5,short,0,0,0,3,8,11
P5,1,ForceScroll,10124,15055.5,long,1,715.5,715.5,3,3,6
P5,1,ForceScroll,6700,4055.5,short,0,0,0,2,0,2
P5,2,ForceScroll,3954,3944.5,short,1,3637.5,3637.5,1,7,8
P5,2,ForceScroll,5168,10055.5,medium,0,0,0,2,1,3
P5,2,ForceScroll,3691,4055.5,short,0,0,0,1,3,4
P5,2,ForceScroll,5983,9944.5,medium,1,52.5,52.5,2,2,4
